,LSTM,GRU
0,0.5617276,0.14220117
1,0.5027075,0.14196953
2,0.5795092,0.14170301
3,0.27496397,0.13815741
4,0.5338686,0.13883004
5,-0.72134537,0.10794373
6,-0.53209186,0.11537011
7,-0.16904256,0.12654057
8,0.4217041,0.13937965
9,0.53149885,0.1418322
10,0.541925,0.14220616
11,0.5551582,0.14227933
12,0.53324085,0.14222604
13,0.56932485,0.14220533
14,0.47385433,0.14164156
15,0.57518363,0.14112073
16,0.058925435,0.13325073
17,0.5271104,0.13908735
18,-0.4723884,0.11842999
19,0.23833117,0.13575262
20,0.53422755,0.14127791
21,0.4509892,0.14124385
22,0.57088095,0.1408529
23,-0.034598514,0.13093224
24,0.52555025,0.13949305
25,-0.17589161,0.12721886
26,0.5035446,0.13985479
27,0.25679737,0.13764799
28,0.53651375,0.139083
29,-0.62833965,0.11248328
30,-0.15640274,0.12674245
31,0.41094533,0.13926615
32,0.541227,0.14183351
33,0.5167555,0.14205517
34,0.5764269,0.14200753
35,0.39305446,0.1404135
36,0.55262893,0.13977903
37,-0.4576549,0.11894137
38,0.26709518,0.13631569
39,0.53469473,0.14137283
40,0.4671571,0.14147004
41,0.57485515,0.14113906
42,0.073389925,0.13359939
43,0.5271719,0.13903075
44,-0.50996315,0.11712488
45,0.16692515,0.13427928
46,0.5274544,0.1410527
47,0.436436,0.14101344
48,0.5673395,0.14063682
49,-0.11612136,0.12883604
50,0.51799107,0.13976553
51,0.08060472,0.13369882
52,0.52928364,0.13917042
53,-0.45487672,0.119018614
54,0.26791832,0.13633639
55,0.5350181,0.14137515
56,0.4662275,0.1414583
57,0.5746338,0.14112084
58,0.06651543,0.13343349
59,0.5271568,0.13905843
60,-0.49196786,0.11775805
61,0.20268133,0.13502747
62,0.5315838,0.14116356
63,0.4399519,0.1410756
64,0.5680596,0.1406768
65,-0.10169829,0.12921219
66,0.52003664,0.13972925
67,0.038215548,0.13267997
68,0.5286721,0.13931775
69,-0.34469956,0.1224723
70,0.404876,0.13875397
71,0.5000665,0.14154883
72,0.56984377,0.14204982
73,0.44026977,0.14116627
74,0.5658344,0.14051107
75,-0.17608604,0.12724757
76,0.5049373,0.13983095
77,0.23687962,0.13722852
78,0.5349021,0.13902916
79,-0.6341963,0.112224504
80,-0.17765781,0.12619725
81,0.39579388,0.13901031
82,0.5452893,0.14178756
83,0.4967728,0.14186218
84,0.5790927,0.14164868
85,0.25839543,0.13780981
86,0.532501,0.13877963
87,-0.72722745,0.10761702
88,-0.5574097,0.11438662
89,-0.2451869,0.12452212
90,0.3602085,0.13833559
91,0.54771507,0.14165986
92,0.4652222,0.14147446
93,0.5739197,0.14105028
94,0.03721556,0.13272065
95,0.52704483,0.13918129
96,-0.40887108,0.12050533
97,0.33386266,0.13756995
98,0.5297976,0.14157158
99,0.5159859,0.14201751
100,0.5756984,0.14202264
101,0.4014184,0.14055492
102,0.5547339,0.13989225
103,-0.41636285,0.12028593
104,0.32786855,0.13745596
105,0.53030545,0.14155559
106,0.5122987,0.1419847
107,0.5768797,0.14196408
108,0.37849772,0.14015925
109,0.5492813,0.13960075
110,-0.5194147,0.11680052
111,0.15100792,0.13393658
112,0.5249515,0.14100435
113,0.43824798,0.14103532
114,0.56796753,0.14067721
115,-0.099861465,0.12925975
116,0.5202703,0.13972442
117,0.03284811,0.1325494
118,0.5285742,0.13933763
119,-0.3294698,0.122923136
120,0.41849884,0.13895735
121,0.4884298,0.14146012
122,0.57481784,0.14187172
123,0.36640373,0.13993725
124,0.5469208,0.1394783
125,-0.558466,0.11534645
126,0.058306642,0.13189363
127,0.5062289,0.14070049
128,0.46149328,0.14132762
129,0.5745217,0.1411502
130,0.083788335,0.13384834
131,0.5272226,0.13899222
132,-0.5350615,0.116214275
133,0.111800544,0.13308933
134,0.5184426,0.14088242
135,0.4435333,0.14109975
136,0.5697103,0.14079238
137,-0.053951308,0.13044065
138,0.52452344,0.1395708
139,-0.11162054,0.12891336
140,0.518199,0.13980882
141,0.09881863,0.13413122
142,0.52949214,0.1391117
143,-0.4969808,0.117584735
144,0.19342405,0.13483527
145,0.53062296,0.1411346
146,0.43847975,0.14105132
147,0.5677139,0.14065662
148,-0.10926325,0.1290152
149,0.51901007,0.13974905
150,0.06063009,0.13322148
151,0.5290165,0.13923718
152,-0.4054485,0.12061445
153,0.3384998,0.13765201
154,0.52883494,0.14158165
155,0.52009875,0.14205097
156,0.57391644,0.14208454
157,0.42661673,0.140964
158,0.5616297,0.14026923
159,-0.27199042,0.124604255
160,0.46312928,0.1395268
161,0.41782555,0.14058831
162,0.5660267,0.14061701
163,-0.107021414,0.12907194
164,0.5193109,0.1397458
165,0.055415776,0.13309611
166,0.5289416,0.13925534
167,-0.39183724,0.12103974
168,0.35517138,0.13794337
169,0.5246391,0.14161015
170,0.53449637,0.14214543
171,0.56274194,0.14224657
172,0.5060544,0.14200768
173,0.5794753,0.14176178
174,0.29630628,0.1385949
175,0.53601044,0.13892259
176,-0.70535666,0.10880351
177,-0.46312624,0.11784887
178,0.007329773,0.1308876
179,0.5055371,0.14054544
180,0.43402508,0.14092907
181,0.5678987,0.14069095
182,-0.08966609,0.1295235
183,0.52147263,0.13969538
184,0.0022817329,0.13179953
185,0.5278227,0.13945279
186,-0.23910359,0.12549958
187,0.47871053,0.13969846
188,0.37751344,0.13994534
189,0.5556756,0.14002743
190,-0.33568722,0.122758225
191,0.41589195,0.13891089
192,0.4896926,0.14146785
193,0.5743812,0.14189556
194,0.376015,0.14010979
195,0.54892784,0.13958445
196,-0.5240289,0.11663313
197,0.14089766,0.13371935
